n_reads,n_threads,finegrain_type,avg_t_calcscore,avg_t_adread,avg_t_adisum
10,1,1,1.25781e+07,1.2049e+07,1.09125e+07
10,1,1,1.21043e+07,1.16444e+07,1.05096e+07
10,2,1,7.47942e+06,6.8389e+06,6.03454e+06
10,4,1,5.61461e+06,4.85495e+06,4.29773e+06
10,8,1,5.95215e+06,5.21516e+06,4.55632e+06
10,16,1,1.13942e+07,1.04013e+07,9.35516e+06
10,4,1,7.04806e+06,6.20704e+06,5.49367e+06
10,16,1,1.28616e+07,1.15367e+07,1.02686e+07
10,32,1,1.59782e+07,1.48763e+07,1.36552e+07
10,64,1,2.26504e+07,2.16106e+07,1.96524e+07
10,1,1,1.24686e+07,1.19487e+07,1.07739e+07
10,2,1,7.51831e+06,6.98742e+06,6.3348e+06
10,4,1,5.36703e+06,4.48278e+06,3.9942e+06
10,4,1,4.07722e+06,3.47528e+06,3.05994e+06
10,2,1,5.86957e+06,5.22503e+06,4.68881e+06
10,4,1,3.64945e+06,3.22402e+06,2.8326e+06
10,2,1,5.63052e+06,5.11994e+06,4.55551e+06
10,4,1,3.98416e+06,3.41354e+06,3.00635e+06
10,4,1,4.00223e+06,3.52819e+06,3.11715e+06
10,5,1,4.14882e+06,3.34313e+06,3.0131e+06
10,6,1,3.85316e+06,2.99808e+06,2.67072e+06
10,7,1,4.00446e+06,3.38061e+06,3.0415e+06
10,8,1,4.39587e+06,3.67349e+06,3.20476e+06
10,4,1,3.79664e+06,3.32505e+06,2.93751e+06
10,5,1,3.99236e+06,3.31778e+06,2.94754e+06
10,6,1,3.40004e+06,2.79588e+06,2.44219e+06
10,7,1,3.97343e+06,3.42388e+06,3.05653e+06
10,8,1,4.01837e+06,3.4672e+06,2.96319e+06
10,1,1,9.42583e+06,9.02639e+06,8.22957e+06
10,2,1,6.30906e+06,5.80682e+06,5.19282e+06
10,4,1,4.92575e+06,4.21264e+06,3.77413e+06
10,5,1,3.67647e+06,3.23073e+06,2.86919e+06
10,6,1,3.60989e+06,3.08853e+06,2.73939e+06
10,8,1,4.66811e+06,3.92013e+06,3.497e+06
10,10,1,7.03043e+06,6.14522e+06,5.56086e+06
10,1,1,9.4055e+06,9.03914e+06,8.20016e+06
10,2,1,7.19789e+06,6.58763e+06,5.91982e+06
10,4,1,4.84098e+06,4.22889e+06,3.79671e+06
10,5,1,4.1888e+06,3.66998e+06,3.28545e+06
10,6,1,5.20095e+06,4.35525e+06,3.8392e+06
10,8,1,6.00042e+06,5.1431e+06,4.40127e+06
10,10,1,9.93364e+06,8.75007e+06,7.92618e+06
10,1,1,1.19728e+07,1.15021e+07,1.05102e+07
10,2,1,8.3297e+06,7.64907e+06,6.87357e+06
10,4,1,4.22929e+06,3.63383e+06,3.20662e+06
